ano,mes,salario_min_nominal,salario_min_necessario
2026,02,1621.0,7164.94
2026,01,1621.0,7156.15
2025,12,1518.0,7106.83
2025,11,1518.0,7067.18
2025,10,1518.0,7116.83
2025,09,1518.0,7075.83
2025,08,1518.0,7147.91
2025,07,1518.0,7274.43
2025,06,1518.0,7416.07
2025,05,1518.0,7528.56
2025,04,1518.0,7638.62
2025,03,1518.0,7398.94
2025,02,1518.0,7229.32
2025,01,1518.0,7156.15
2024,12,1412.0,7067.68
2024,11,1412.0,6959.31
2024,10,1412.0,6769.87
2024,09,1412.0,6657.55
2024,08,1412.0,6606.13
2024,07,1412.0,6802.88
2024,06,1412.0,6995.44
2024,05,1412.0,6946.37
2024,04,1412.0,6912.69
2024,03,1412.0,6832.2
2024,02,1412.0,6996.36
2024,01,1412.0,6723.41
2023,12,1320.0,6439.62
2023,11,1320.0,6294.71
2023,10,1320.0,6210.11
2023,09,1320.0,6280.93
2023,08,1320.0,6389.72
2023,07,1320.0,6528.93
2023,06,1320.0,6578.41
2023,05,1320.0,6652.09
2023,04,1302.0,6676.11
2023,03,1302.0,6571.52
2023,02,1302.0,6547.58
2023,01,1302.0,6641.58
2022,12,1212.0,6647.63
2022,11,1212.0,6575.3
2022,10,1212.0,6458.86
2022,09,1212.0,6306.97
2022,08,1212.0,6298.91
2022,07,1212.0,6388.55
2022,06,1212.0,6527.67
2022,05,1212.0,6535.4
2022,04,1212.0,6754.33
2022,03,1212.0,6394.76
2022,02,1212.0,6012.18
2022,01,1212.0,5997.14
2021,12,1100.0,5800.98
2021,11,1100.0,5969.17
2021,10,1100.0,5886.5
2021,09,1100.0,5657.66
2021,08,1100.0,5583.9
2021,07,1100.0,5518.79
2021,06,1100.0,5421.84
2021,05,1100.0,5351.11
2021,04,1100.0,5330.69
2021,03,1100.0,5315.74
2021,02,1100.0,5375.05
2021,01,1100.0,5495.52
2020,12,1045.0,5304.9
2020,11,1045.0,5289.53
2020,10,1045.0,5005.91
2020,09,1045.0,4892.75
2020,08,1045.0,4536.12
2020,07,1045.0,4420.11
2020,06,1045.0,4595.6
2020,05,1045.0,4694.57
2020,04,1045.0,4673.06
2020,03,1045.0,4483.2
2020,02,1045.0,4366.51
2020,01,1039.0,4347.61
2019,12,998.0,4342.57
2019,11,998.0,4021.39
2019,10,998.0,3978.63
2019,09,998.0,3980.82
2019,08,998.0,4044.58
2019,07,998.0,4143.55
2019,06,998.0,4214.62
2019,05,998.0,4259.9
2019,04,998.0,4385.75
2019,03,998.0,4277.04
2019,02,998.0,4052.65
2019,01,998.0,3928.73
2018,12,954.0,3960.57
2018,11,954.0,3959.98
2018,10,954.0,3783.39
2018,09,954.0,3658.39
2018,08,954.0,3636.04
2018,07,954.0,3674.77
2018,06,954.0,3804.06
2018,05,954.0,3747.1
2018,04,954.0,3696.95
2018,03,954.0,3706.44
2018,02,954.0,3682.67
2018,01,954.0,3752.65
2017,12,937.0,3585.05
2017,11,937.0,3731.39
2017,10,937.0,3754.16
2017,09,937.0,3668.55
2017,08,937.0,3744.83
2017,07,937.0,3810.36
2017,06,937.0,3727.19
2017,05,937.0,3869.92
2017,04,937.0,3899.66
2017,03,937.0,3673.09
2017,02,937.0,3658.72
2017,01,937.0,3811.29
2016,12,880.0,3856.23
2016,11,880.0,3940.41
2016,10,880.0,4016.27
2016,09,880.0,4013.08
2016,08,880.0,3991.4
2016,07,880.0,3992.75
2016,06,880.0,3940.24
2016,05,880.0,3777.93
2016,04,880.0,3716.77
2016,03,880.0,3736.26
2016,02,880.0,3725.01
2016,01,880.0,3795.24
2015,12,788.0,3518.51
2015,11,788.0,3399.22
2015,10,788.0,3210.28
2015,09,788.0,3240.27
2015,08,788.0,3258.16
2015,07,788.0,3325.37
2015,06,788.0,3299.66
2015,05,788.0,3377.62
2015,04,788.0,3251.61
2015,03,788.0,3186.92
2015,02,788.0,3182.81
2015,01,788.0,3118.62
2014,12,724.0,2975.55
2014,11,724.0,2923.22
2014,10,724.0,2967.07
2014,09,724.0,2862.73
2014,08,724.0,2861.55
2014,07,724.0,2915.07
2014,06,724.0,2979.25
2014,05,724.0,3079.31
2014,04,724.0,3019.07
2014,03,724.0,2992.19
